a,r,b
{sys_id:3430},"{type:позиция,номер:4,sys_id:3371}",{sys_id:1326}
{sys_id:499},"{type:позиция,номер:5,sys_id:1961}",{sys_id:1326}
{sys_id:3316},"{type:позиция,номер:6,sys_id:3488}",{sys_id:1326}
{sys_id:3227},"{type:позиция,номер:6,sys_id:3479}",{sys_id:1326}
{sys_id:3223},"{type:позиция,номер:6,sys_id:3466}",{sys_id:1326}
{sys_id:3192},"{type:позиция,номер:6,sys_id:3435}",{sys_id:1326}
{sys_id:3190},"{type:позиция,номер:6,sys_id:3425}",{sys_id:1326}
{sys_id:3186},"{type:позиция,номер:6,sys_id:3412}",{sys_id:1326}
{sys_id:3218},"{type:позиция,номер:1,sys_id:3307}",{sys_id:1326}
{sys_id:3182},"{type:позиция,номер:4,sys_id:3257}",{sys_id:1326}
{sys_id:3202},"{type:позиция,номер:2,sys_id:3281}",{sys_id:1326}
{sys_id:3198},"{type:позиция,номер:3,sys_id:3269}",{sys_id:1326}
{sys_id:1340},"{type:позиция,номер:7,sys_id:2416}",{sys_id:1326}
{sys_id:1208},"{type:позиция,номер:6,sys_id:2335}",{sys_id:1326}
{sys_id:1293},"{type:позиция,номер:5,sys_id:2436}",{sys_id:1326}
{sys_id:1343},"{type:позиция,номер:6,sys_id:2425}",{sys_id:1326}
{sys_id:1347},"{type:позиция,номер:4,sys_id:2476}",{sys_id:1326}
{sys_id:470},"{type:позиция,номер:6,sys_id:1902}",{sys_id:1326}
{sys_id:474},"{type:позиция,номер:5,sys_id:1914}",{sys_id:1326}
{sys_id:486},"{type:позиция,номер:6,sys_id:1938}",{sys_id:1326}
{sys_id:3123},"{type:автор,sys_id:588}",{sys_id:1326}
{sys_id:3122},"{type:автор,sys_id:586}",{sys_id:1326}
{sys_id:3121},"{type:автор,sys_id:584}",{sys_id:1326}
{sys_id:3120},"{type:автор,sys_id:582}",{sys_id:1326}
{sys_id:3119},"{type:автор,sys_id:580}",{sys_id:1326}
{sys_id:3118},"{type:автор,sys_id:578}",{sys_id:1326}
{sys_id:3117},"{type:автор,sys_id:576}",{sys_id:1326}
{sys_id:3116},"{type:автор,sys_id:574}",{sys_id:1326}
{sys_id:3115},"{type:автор,sys_id:572}",{sys_id:1326}
{sys_id:3104},"{type:автор,sys_id:570}",{sys_id:1326}
{sys_id:3114},"{type:автор,sys_id:568}",{sys_id:1326}
{sys_id:3113},"{type:автор,sys_id:551}",{sys_id:1326}
{sys_id:3112},"{type:автор,sys_id:566}",{sys_id:1326}
{sys_id:3111},"{type:автор,sys_id:564}",{sys_id:1326}
{sys_id:3110},"{type:автор,sys_id:562}",{sys_id:1326}
{sys_id:3109},"{type:автор,sys_id:560}",{sys_id:1326}
{sys_id:3108},"{type:автор,sys_id:558}",{sys_id:1326}
{sys_id:3107},"{type:автор,sys_id:556}",{sys_id:1326}
{sys_id:3106},"{type:автор,sys_id:554}",{sys_id:1326}
